,Date,Team,Player,Leg Code,Game,3DA,W/A
0,05-14-19,Dart Daddies,Tom Akkermans,1.1,501 SIDO,60.1,W
1,05-14-19,RBB III,Angelo Dimalanta,1.1,501 SIDO,27.3,0
2,05-14-19,Dart Daddies,Tom Akkermans,1.2,501 SIDO,68.3,W
3,05-14-19,RBB III,Angelo Dimalanta,1.2,501 SIDO,33.0,0
4,05-14-19,Dart Daddies,Shane Hope,2.1,301 DIDO,34.4,W
5,05-14-19,Dart Daddies,Konnor DePasquale,2.1,301 DIDO,21.2,A
6,05-14-19,RBB III,Pat Maloy,2.1,301 DIDO,29.6,0
7,05-14-19,RBB III,Mike Heneghan,2.1,301 DIDO,27.8,0
8,05-14-19,Dart Daddies,Konnor DePasquale,2.2,Cricket,3.3,A
9,05-14-19,Dart Daddies,Shane Hope,2.2,Cricket,2.0,W
10,05-14-19,RBB III,Pat Maloy,2.2,Cricket,1.0,0
11,05-14-19,RBB III,Mike Heneghan,2.2,Cricket,1.3,0
12,05-14-19,Dart Daddies,Ricky Cordt,3.1,301 DIDO,18.1,W
13,05-14-19,RBB III,Mike Heneghan,3.1,301 DIDO,15.7,0
14,05-14-19,Dart Daddies,Ricky Cordt,3.2,301 DIDO,36.1,W
15,05-14-19,RBB III,Mike Heneghan,3.2,301 DIDO,31.7,0
16,05-14-19,Dart Daddies,Konnor DePasquale,4.1,Cricket,1.9,W
17,05-14-19,Dart Daddies,Andy Clarke,4.1,Cricket,1.6,A
18,05-14-19,RBB III,Jason Johnson,4.1,Cricket,1.4,0
19,05-14-19,RBB III,Pat Maloy,4.1,Cricket,1.0,0
20,05-14-19,Dart Daddies,Konnor DePasquale,4.2,Cricket,2.1,A
21,05-14-19,Dart Daddies,Andy Clarke,4.2,Cricket,1.7,W
22,05-14-19,RBB III,Jason Johnson,4.2,Cricket,0.6,0
23,05-14-19,RBB III,Pat Maloy,4.2,Cricket,1.5,0
24,05-14-19,Dart Daddies,Andy Clarke,5.1,501 SIDO,36.7,W
25,05-14-19,RBB III,Pat Maloy,5.1,501 SIDO,37.5,0
26,05-14-19,Dart Daddies,Andy Clarke,5.2,Cricket,2.2,W
27,05-14-19,RBB III,Pat Maloy,5.2,Cricket,1.8,0
28,05-14-19,Dart Daddies,Tom Akkermans,6.1,301 DIDO,44.8,W
29,05-14-19,Dart Daddies,Shane Hope,6.1,301 DIDO,26.8,A
30,05-14-19,RBB III,Jason Johnson,6.1,301 DIDO,34.8,0
31,05-14-19,RBB III,Angelo Dimalanta,6.1,301 DIDO,21.8,0
32,05-14-19,Dart Daddies,Tom Akkermans,6.2,301 DIDO,39.0,W
33,05-14-19,Dart Daddies,Shane Hope,6.2,301 DIDO,9.0,A
34,05-14-19,RBB III,Jason Johnson,6.2,301 DIDO,30.4,0
35,05-14-19,RBB III,Angelo Dimalanta,6.2,301 DIDO,14.3,0
36,05-14-19,Dart Daddies,Tom Akkermans,7.1,301 DIDO,48.3,W
37,05-14-19,Dart Daddies,Ricky Cordt,7.1,301 DIDO,46.7,A
38,05-14-19,RBB III,Jason Johnson,7.1,301 DIDO,37.3,0
39,05-14-19,RBB III,Mike Heneghan,7.1,301 DIDO,23.0,0
40,05-14-19,Dart Daddies,Ricky Cordt,7.2,301 DIDO,22.0,A
